Entity,Code,Year,Annual CO2 emissions from gas
Afghanistan,AFG,1967,260144
Afghanistan,AFG,1968,347041
Afghanistan,AFG,1970,216651
Afghanistan,AFG,1971,439680
Afghanistan,AFG,1972,300448
Afghanistan,AFG,1973,332680
Afghanistan,AFG,1974,400141
Afghanistan,AFG,1975,475500
Afghanistan,AFG,1976,300448
Afghanistan,AFG,1977,512960
Afghanistan,AFG,1978,300959
Afghanistan,AFG,1979,384720
Afghanistan,AFG,1980,187254
Afghanistan,AFG,1981,304112
Afghanistan,AFG,1982,395712
Afghanistan,AFG,1983,615552
Afghanistan,AFG,1984,931863
Afghanistan,AFG,1985,1192046
Afghanistan,AFG,1986,1201792
Afghanistan,AFG,1987,391588
Afghanistan,AFG,1988,439680
Afghanistan,AFG,1989,479984
Afghanistan,AFG,1990,403040
Afghanistan,AFG,1991,388384
Afghanistan,AFG,1992,362736
Afghanistan,AFG,1993,351744
Afghanistan,AFG,1994,338048
Afghanistan,AFG,1995,322432
Afghanistan,AFG,1996,307776
Afghanistan,AFG,1997,283078
Afghanistan,AFG,1998,264743
Afghanistan,AFG,1999,241824
Afghanistan,AFG,2000,223504
Afghanistan,AFG,2001,208848
Afghanistan,AFG,2002,545936
Afghanistan,AFG,2003,465328
Afghanistan,AFG,2004,227168
Afghanistan,AFG,2005,329760
Afghanistan,AFG,2006,329027
Afghanistan,AFG,2007,308273
Afghanistan,AFG,2008,296784
Afghanistan,AFG,2009,271136
Afghanistan,AFG,2010,271136
Afghanistan,AFG,2011,307776
Afghanistan,AFG,2012,307776
Afghanistan,AFG,2013,296784
Afghanistan,AFG,2014,271136
Afghanistan,AFG,2015,282128
Afghanistan,AFG,2016,318594
Afghanistan,AFG,2017,300448
Afghanistan,AFG,2018,297049
Afghanistan,AFG,2019,270479
Africa,,1939,109920
Africa,,1940,91600
Africa,,1941,98928
Africa,,1942,106256
Africa,,1943,117248
Africa,,1944,130941
Africa,,1945,135568
Africa,,1946,134919
Africa,,1947,135568
Africa,,1948,138599
Africa,,1949,139796
Africa,,1950,3664
Africa,,1951,3664
Africa,,1952,7328
Africa,,1953,14656
Africa,,1954,22003
Africa,,1955,21984
Africa,,1956,29297
Africa,,1957,21975
Africa,,1958,18287
Africa,,1959,34512
Africa,,1960,47267
Africa,,1961,498014
Africa,,1962,739735
Africa,,1963,718144
Africa,,1964,1450996
Africa,,1965,2122516
Africa,,1966,2359712
Africa,,1967,2318534
Africa,,1968,2364020
Africa,,1969,2890042
Africa,,1970,816456
Africa,,1971,1692644
Africa,,1972,4414162
Africa,,1973,5360477
Africa,,1974,5111146
Africa,,1975,6422434
Africa,,1976,8885064
Africa,,1977,13669397
Africa,,1978,34434261
Africa,,1979,19657064
Africa,,1980,34631886
Africa,,1981,29401289
Africa,,1982,23984877
Africa,,1983,30430677
Africa,,1984,47570147
Africa,,1985,48848145
Africa,,1986,58356935
Africa,,1987,67871910
Africa,,1988,68951955
Africa,,1989,71402786
Africa,,1990,75954398
Africa,,1991,78465955
Africa,,1992,74272817
Africa,,1993,81721836
Africa,,1994,85588378
Africa,,1995,101556505
Africa,,1996,108019272
Africa,,1997,95205179
Africa,,1998,112674630
Africa,,1999,114340082
Africa,,2000,115467296
Africa,,2001,121707057
Africa,,2002,136457891
Africa,,2003,148190509
Africa,,2004,153640048
Africa,,2005,185525607
Africa,,2006,181129704
Africa,,2007,193812485
Africa,,2008,197470822
Africa,,2009,194551842
Africa,,2010,203465516
Africa,,2011,223895122
Africa,,2012,234805799
Africa,,2013,235814803
Africa,,2014,238318860
Africa,,2015,245433618
Africa,,2016,256573402
Africa,,2017,273733813
Africa,,2018,291050233
Africa,,2019,293812751
Albania,ALB,1951,10992
Albania,ALB,1952,10885
Albania,ALB,1953,18320
Albania,ALB,1954,29312
Albania,ALB,1955,36640
Albania,ALB,1956,47632
Albania,ALB,1957,58624
Albania,ALB,1958,65952
Albania,ALB,1959,76944
Albania,ALB,1960,84272
Albania,ALB,1961,84137
Albania,ALB,1962,84272
Albania,ALB,1963,84272
Albania,ALB,1964,84272
Albania,ALB,1965,84130
Albania,ALB,1966,102740
Albania,ALB,1967,128240
Albania,ALB,1968,146560
Albania,ALB,1969,168544
Albania,ALB,1970,187047
Albania,ALB,1971,241824
Albania,ALB,1972,278464
Albania,ALB,1973,366400
Albania,ALB,1974,429050
Albania,ALB,1975,553264
Albania,ALB,1976,671009
Albania,ALB,1977,699376
Albania,ALB,1978,678223
Albania,ALB,1979,706810
Albania,ALB,1980,773104
Albania,ALB,1981,805678
Albania,ALB,1982,864704
Albania,ALB,1983,974624
Albania,ALB,1984,1044240
Albania,ALB,1985,970960
Albania,ALB,1986,1051568
Albania,ALB,1987,450894
Albania,ALB,1988,355586
Albania,ALB,1989,447008
Albania,ALB,1990,465328
Albania,ALB,1991,274800
Albania,ALB,1992,198147
Albania,ALB,1993,157303
Albania,ALB,1994,98928
Albania,ALB,1995,51296
Albania,ALB,1996,43968
Albania,ALB,1997,36640
Albania,ALB,1998,32907
Albania,ALB,1999,29348
Albania,ALB,2000,21957
Albania,ALB,2001,14656
Albania,ALB,2002,25648
Albania,ALB,2003,25648
Albania,ALB,2004,32976
Albania,ALB,2005,21965
Albania,ALB,2006,21963
Albania,ALB,2007,32944
Albania,ALB,2008,14656
Albania,ALB,2009,18320
Albania,ALB,2010,25648
Albania,ALB,2011,29312
Albania,ALB,2012,29312
Albania,ALB,2013,32976
Albania,ALB,2014,58586
Albania,ALB,2015,62288
Albania,ALB,2016,161347
Albania,ALB,2017,84272
Albania,ALB,2018,84609
Albania,ALB,2019,85935
Algeria,DZA,1939,109920
Algeria,DZA,1940,91600
Algeria,DZA,1941,98928
Algeria,DZA,1942,106256
Algeria,DZA,1943,117248
Algeria,DZA,1944,130941
Algeria,DZA,1945,135568
Algeria,DZA,1946,134919
Algeria,DZA,1947,135568
Algeria,DZA,1948,138599
Algeria,DZA,1949,139796
Algeria,DZA,1961,450400
Algeria,DZA,1962,688387
Algeria,DZA,1963,604560
Algeria,DZA,1964,1190800
Algeria,DZA,1965,1778028
