"","Country","cri","MTCO2e","Moratoria_bans_limits","Subsidy_removal","Divestment","Sources","Notes","ISO2","ISO3","UN","CAT_rating","latitude","longitude","global_level","continent_level","mbl_country","mbl_city_region","divestment_city_region","divestment_non_government","subsidy_removal","MBL_Class_Moratorium","MBL_Class_Ban","MBL_Class_Partial_Ban","MBL_Class_Limitation","MBL_Type_Oil","MBL_Type_Gas","MBL_Type_Coal","MBL_Type_Offshore","MBL_Type_Oil_Gas","MBL_Type_Oil_Gas_Coal","MBL_Type_Coal_Gas","MBL_Type_All","MBL_Type_Ore","Div_Type_Full","Div_Type_Partial","Div_Type_Fossil_Free","Div_Type_Coal_Only","Div_Type_Coal_and_Tar_Sands_Only","Div_Orga_Faith_based_Organization","Div_Orga_NGO","Div_Orga_Pension_Fund","Div_Orga_For_Profit_Corporation","Div_Orga_Philanthropic_Foundation","Div_Orga_Government","Div_Orga_Educational_Institution","Div_Orga_Healthcare_Institution","Div_Orga_Cultural_Institution","Div_Orga_Other","Sr_Type_All","Sr_Type_Coal","Sr_Type_Gas","Sr_Type_Oil","Sr_Type_Oil_Gas","Sr_Type_Oil_Coal","Sr_Type_Gas_Coal","treaty_total","Moratoria_bans_limits_total","Divestment_total","Subsidy_removal_total","Policy_total","Government_policies_total","Non_Government_policies_total","oil_production_2020","gas_production_2020","coal_production_2020","oil_production_2020_cat","gas_production_2020_cat","coal_production_2020_cat","MTCO2e_cat","global_emissions_percent","fossil_fuel_share_energy_2019","ff_share_2019_cat","co2_oil_annual_2019","co2_gas_annual_2019","co2_coal_annual_2019","co2_oil_annual_2019_cat","co2_gas_annual_2019_cat","co2_coal_annual_2019_cat"
"1","Afghanistan",43.33,95.41,0,0,0,0,0,"AF","AFG",4,7,33,65,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.029418,0,"No data",3412321,270479,6992747,"1-5 million t","1-5 million t","5-10 million t"
"2","Angola",56,182.19,0,0,0,0,0,"AO","AGO",24,7,-12.5,18.5,"Global","Africa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,803.2828188392,0,0,"500-1000TWH","No data","No data","169-500 MTCO2e",0.104333,0,"No data",20863404,1384265,NA,"10-50 million t","1-5 million t",NA
"3","Albania",58,9.33,0,0,0,0,0,"AL","ALB",8,7,41,20,"Global","Europe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.01531,0,"No data",4145541,85935,567106,"1-5 million t","1-5 million t","1-5 million t"
"4","United Arab Emirates",109.17,259.43,0,0,0,0,0,"AE","ARE",784,1,24,54,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099.728807585,580.269469444444,0,"2000-4000TWh","500-1000TWH","No data","169-500 MTCO2e",0.52326,99.229,"95-100%",34422029,138545185,9327675,"10-50 million t","100-500 million t","5-10 million t"
"5","Argentina",63.67,469.73,2,0,2,0,0,"AR","ARG",32,0,-34,-64,"Global","South America",0,2,0,9,0,0,2,0,0,0,2,0,0,0,0,0,0,0,6,1,2,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,11,2,9,335.3491220949,416.158165833333,0,"1-500TWh","1-500TWh","No data","169-500 MTCO2e",0.491034,84.271,"80-90%",76107797,94827560,2168838,"50-100 million t","50-100 million t","1-5 million t"
"6","Armenia",98.33,9.36,0,0,0,0,0,"AM","ARM",51,7,40,45,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.016481,0,"No data",982115,4864757,5328,"1-5 million t","1-5 million t","1-5 million t"
"7","Antarctica",0,0,0,0,0,0,0,"AQ","ATA",10,7,-90,0,"Global","Antarctica",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,"No data","No data","No data","No data",0,0,"No data",NA,NA,NA,NA,NA,NA
"8","Australia",35.5,507.17,5,1,89,0,0,"AU","AUS",36,2,-27,133,"Global","Oceania",0,8,30,183,1,5,2,1,0,0,6,1,0,1,0,0,0,0,188,11,5,8,1,27,7,112,10,16,30,7,2,1,1,0,0,0,1,0,0,0,8,8,213,1,230,39,183,224.0765949004,1431.49018833333,3669.87767777778,"1-500TWh","1000-1500TWH","3000-4000TWH","500-1000 MTCO2e",1.127881,91.433,"90-95",142063818,81216230,163626960,"100-500 million t","50-100 million t","100-500 million t"
"9","Austria",57,70.62,0,0,1,0,0,"AT","AUT",40,2,47.3333,13.3333,"Global","Europe",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.18796,66.298,"60-80%",34914975,17505554,12942650,"10-50 million t","10-50 million t","10-50 million t"
"10","Azerbaijan",124.5,73.05,0,0,0,0,0,"AZ","AZE",31,7,40.5,47.5,"Global","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.874872,243.182230555556,0,"1-500TWh","1-500TWh","No data","1-169 MTCO2e",0.109272,97.52,"95-100%",13464804,23199716,3664,"10-50 million t","10-50 million t","1-5 million t"
"11","Burundi",33,7.95,0,0,0,0,0,"BI","BDI",108,7,-3.5,30,"Global","Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.001591,0,"No data",521804,NA,18094,"1-5 million t",NA,"1-5 million t"
"12","Belgium",52.83,107.63,0,0,16,0,0,"BE","BEL",56,2,50.8333,4,"Global","Europe",0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,1,2,0,20,0,1,3,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,29,0,30,0,29,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.273614,78.684,"60-80%",44485907,37269303,13243231,"10-50 million t","10-50 million t","10-50 million t"
"13","Benin",124.5,27.36,0,0,0,0,0,"BJ","BEN",204,7,9.5,2.25,"Global","Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.021948,0,"No data",6912615,79555,307954,"1-10 million t","1-5 million t","1-5 million t"
"14","Burkina Faso",61,38.61,0,0,0,0,0,"BF","BFA",854,7,13,-2,"Global","Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No data","No data","No data","1-169 MTCO2e",0.011803,0,"No data",4184479,NA,NA,"1-5 million t",NA,NA
"15","Bangladesh",46.17,203.15,0,0,0,0,0,"BD","BGD",50,7,24,90,"Global","Asia",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,252.844339166667,0,"No data","1-500TWh","No data","169-500 MTCO2e",0.280345,99.363,"95-100%",20503225,69333698,11528032,"10-50 million t","50-100 million t","10-50 million t"
