"","Country","City, state, or province","Start","Divestment type","Organisation","Organisation_type","Sources and more info","Sources 2","Sources 3","Notes","Category"
"1","--","--",2019-05-10,"--","Archdiocese of Malta","Faith-based Organization","--","--","--","--","Divestment"
"2","--","--",2018-12-12,"--","Caisse des dépôts et consignations","Pension Fund","--","--","--","--","Divestment"
"3","--","--",2008-01-01,"--","350.org","NGO","--","--","--","--","Divestment"
"4","--","--",2009-10-01,"--","350.org Australia","NGO","--","--","--","--","Divestment"
"5","--","--",2017-05-18,"--","Abdij OLV van Nazareth","Faith-based Organization","--","--","--","--","Divestment"
"6","--","--",NA,"--","Able Farms","For Profit Corporation","--","--","--","--","Divestment"
"7","--","--",NA,"--","Abracadabra Retirement Fund","Pension Fund","--","--","--","--","Divestment"
"8","--","--",2015-06-01,"--","Abramowitz-Silverman Fund","Philanthropic Foundation","--","--","--","--","Divestment"
"9","--","--",2018-03-06,"--","Acacia Inversion","Philanthropic Foundation","--","--","--","--","Divestment"
"10","--","--",NA,"--","Access Strategies Fund","Philanthropic Foundation","--","--","--","--","Divestment"
"11","--","--",2016-05-01,"--","Aegon N.V.","For Profit Corporation","--","--","--","--","Divestment"
"12","--","--",2019-07-19,"--","Aestus Inc","For Profit Corporation","--","--","--","--","Divestment"
"13","--","--",2018-07-09,"--","Africa Europe Faith and Justice Network","Faith-based Organization","--","--","--","--","Divestment"
"14","--","--",NA,"--","Afrikind International Foundation Inc","Philanthropic Foundation","--","--","--","--","Divestment"
"15","--","--",2018-12-12,"--","AG2R la mondiale","For Profit Corporation","--","--","--","--","Divestment"
"16","--","--",NA,"--","Alingsås Government","Government","--","--","--","--","Divestment"
"17","--","--",2019-04-26,"--","All Hallows Church, Leeds (Church of England)","Faith-based Organization","--","--","--","--","Divestment"
"18","--","--",2014-11-01,"--","All Souls Unitarian Universalist Church","Faith-based Organization","--","--","--","--","Divestment"
"19","--","--",NA,"--","Alleycat Super Fund","Pension Fund","--","--","--","--","Divestment"
"20","--","--",2015-11-01,"--","Allianz Group","For Profit Corporation","--","--","--","--","Divestment"
"21","--","--",NA,"--","Alternative Bank Schweiz","For Profit Corporation","--","--","--","--","Divestment"
"22","--","--",2017-05-18,"--","ALTIS, Alta Scuola Impresa e Società dell'Università Cattolica del Sacro Cuore","Educational Institution","--","--","--","--","Divestment"
"23","--","--",2016-09-21,"--","Amalgamated Bank","For Profit Corporation","--","--","--","--","Divestment"
"24","--","--",2018-03-09,"--","Amanda's Super Fund","Pension Fund","--","--","--","--","Divestment"
"25","--","--",2019-10-16,"--","AMECEA - Association of Member Episcopal Conferences in Eastern Africa","Faith-based Organization","--","--","--","--","Divestment"
"26","--","--",2014-05-01,"--","American Ethical Union","Faith-based Organization","--","--","--","--","Divestment"
"27","--","--",2020-12-03,"--","American Jewish World Service","Faith-based Organization","--","--","--","--","Divestment"
"28","--","--",2017-11-08,"--","American Public Health Association","Healthcare Institution","--","--","--","--","Divestment"
"29","--","--",2019-08-06,"--","Amnesty International","NGO","--","--","--","--","Divestment"
"30","--","--",2018-03-09,"--","AMP Capital Responsible Investment","For Profit Corporation","--","--","--","--","Divestment"
"31","--","--",2019-09-09,"--","Amundi","For Profit Corporation","--","--","--","--","Divestment"
