Entity,Code,Year,Fossil Fuels (TWh)
Africa,,1965,658.941
Africa,,1966,690.502
Africa,,1967,694.671
Africa,,1968,727.597
Africa,,1969,737.671
Africa,,1970,794.684
Africa,,1971,874.459
Africa,,1972,921.609
Africa,,1973,999.904
Africa,,1974,1040.195
Africa,,1975,1101.144
Africa,,1976,1204.266
Africa,,1977,1261.038
Africa,,1978,1313.34
Africa,,1979,1443.222
Africa,,1980,1563.347
Africa,,1981,1750.669
Africa,,1982,1878.451
Africa,,1983,1946.67
Africa,,1984,2005.44
Africa,,1985,2070.742
Africa,,1986,2108.475
Africa,,1987,2191.594
Africa,,1988,2336.992
Africa,,1989,2335.638
Africa,,1990,2422.826
Africa,,1991,2409.137
Africa,,1992,2460.51
Africa,,1993,2478.95
Africa,,1994,2548.242
Africa,,1995,2648.041
Africa,,1996,2715.206
Africa,,1997,2764.42
Africa,,1998,2799.464
Africa,,1999,2882.296
Africa,,2000,2940.741
Africa,,2001,3057.225
Africa,,2002,3080.476
Africa,,2003,3244.701
Africa,,2004,3482.064
Africa,,2005,3510.717
Africa,,2006,3572.478
Africa,,2007,3700.708
Africa,,2008,3946.458
Africa,,2009,4015.733
Africa,,2010,4133.237
Africa,,2011,4142.954
Africa,,2012,4298.266
Africa,,2013,4400.578
Africa,,2014,4522.261
Africa,,2015,4590.455
Africa,,2016,4714.358
Africa,,2017,4803.136
Africa,,2018,4954.635
Africa,,2019,5043.234
Algeria,DZA,1965,23.65
Algeria,DZA,1966,28.783
Algeria,DZA,1967,27.035
Algeria,DZA,1968,28.68
Algeria,DZA,1969,32.472
Algeria,DZA,1970,35.044
Algeria,DZA,1971,38.757
Algeria,DZA,1972,43.184
Algeria,DZA,1973,51.027
Algeria,DZA,1974,57.439
Algeria,DZA,1975,69.4
Algeria,DZA,1976,80.952
Algeria,DZA,1977,89.417
Algeria,DZA,1978,112.622
Algeria,DZA,1979,147.68
Algeria,DZA,1980,176.383
Algeria,DZA,1981,214.104
Algeria,DZA,1982,246.696
Algeria,DZA,1983,270.272
Algeria,DZA,1984,258.86
Algeria,DZA,1985,260.387
Algeria,DZA,1986,276.752
Algeria,DZA,1987,283.693
Algeria,DZA,1988,304.881
Algeria,DZA,1989,296.4
Algeria,DZA,1990,314.575
Algeria,DZA,1991,311.229
Algeria,DZA,1992,319.639
Algeria,DZA,1993,296.951
