Entity,Code,Year,Coal Production - TWh,Oil Production - TWh,Gas Production - TWh
Africa,,1981,909.9033433333332,2773.140062587,264.74803944444443
Africa,,1982,998.7121947222222,2666.06156053,325.11289277777774
Africa,,1983,1011.8727966666668,2702.351414784,436.9568288888889
Africa,,1984,1128.4528458333332,2885.779347963,458.6506938888889
Africa,,1985,1198.910662222222,3000.3309274900007,505.6782097222222
Africa,,1986,1229.491193888889,2991.711509995,530.1431319444445
Africa,,1987,1230.7749333333331,2997.637391578,578.9781925
Africa,,1988,1264.931453611111,3124.963679441,617.5322794444444
Africa,,1989,1228.4504005555557,3449.0318209760003,677.4079680555556
Africa,,1990,1221.2260188888888,3696.371821373,721.5905930555555
Africa,,1991,1244.8148102777775,3834.597155595,773.45173
Africa,,1992,1273.1393947222225,3907.29751256,808.2827991666667
Africa,,1993,1296.9969405555555,3856.359524442,833.4067216666666
Africa,,1994,1348.0317583333333,3848.592396378001,789.6462175
Africa,,1995,1416.04341,3910.952948327,872.7052224999999
Africa,,1996,1411.6851802777776,4037.574348868001,933.325003611111
Africa,,1997,1501.607581388889,4131.453803431,1041.611023888889
Africa,,1998,1521.7465094444444,4145.346221058,1109.316353888889
Africa,,1999,1519.3371783333334,4028.149016567,1216.7257452777776
Africa,,2000,1518.0176616666668,4321.540559401,1351.0124297222224
Africa,,2001,1514.2569430555557,4278.227366755,1388.4131452777776
Africa,,2002,1488.9234872222223,4307.26003937,1449.4239955555556
Africa,,2003,1599.9606094444446,4684.481494454,1556.2820244444445
Africa,,2004,1634.8584202777777,5212.513063729,1636.2527052777775
Africa,,2005,1645.393738611111,5404.720311784,1701.064934722222
Africa,,2006,1634.157563888889,5530.834937401,1842.0569013888887
Africa,,2007,1633.5044844444444,5646.265790285001,1957.3491005555557
Africa,,2008,1659.7474080555555,5703.680521914001,2029.1281625
Africa,,2009,1645.727723888889,5487.110639374,1913.575300833333
Africa,,2010,1706.9717883333333,5664.290150365001,2015.298361388889
Africa,,2011,1697.5177480555556,4722.236705448,2006.1346691666663
Africa,,2012,1766.9137822222222,5142.9210347670005,2067.2793791666663
Africa,,2013,1771.9929480555554,4762.6802200170005,1991.0166705555555
Africa,,2014,1831.7217183333328,4541.094569685,2035.0489741666663
Africa,,2015,1758.9639444444445,4490.44258769,2079.924261388889
Africa,,2016,1782.0427219444443,4249.629870132,2118.779268888889
Africa,,2017,1849.958605,4489.778146019,2294.929831111111
Africa,,2018,1907.9033216666664,4576.723317752,2414.378688333333
Africa,,2019,1898.7293758333333,4670.045686011,2437.7666994444444
Africa,,2020,1797.4649783333332,3806.617841155,2312.992040277777
Africa,,1965,,1235.100893267,
Africa,,1966,,1571.826917462,
Africa,,1967,,1729.137039816,
Africa,,1968,,2216.125948323,
Africa,,1969,,2818.294394718,
Africa,,1970,,3399.629209176,30.1721625
Africa,,1971,,3181.029766032,37.02290194444444
Africa,,1972,,3194.1734605410006,65.1348461111111
Africa,,1973,,3346.9215269890005,98.3221525
Africa,,1974,,3085.5672637810003,102.60499666666666
Africa,,1975,,2831.092614262,115.33114861111112
Africa,,1976,,3377.1101390310005,137.28213416666668
Africa,,1977,,3541.035528663,139.97684944444444
Africa,,1978,,3456.545199885,186.69027666666668
Africa,,1979,,3800.223798574,283.32994499999995
Africa,,1980,,3492.4871217550003,248.3033888888889
Algeria,DZA,1965,,304.0002025142,
Algeria,DZA,1966,,391.2619966941001,
Algeria,DZA,1967,,449.44416225030005,
Algeria,DZA,1968,,493.3881905193,
Algeria,DZA,1969,,516.7882778235,
Algeria,DZA,1970,,561.885931731,24.380125
Algeria,DZA,1971,,427.9567852185,25.69875
Algeria,DZA,1972,,578.3189753093001,32.561375
Algeria,DZA,1973,,601.2550929512,43.21625
Algeria,DZA,1974,,556.3107382605001,49.963375
Algeria,DZA,1975,,544.3293481612001,61.523
Algeria,DZA,1976,,607.4248694739001,77.490875
Algeria,DZA,1977,,648.4450044438,74.1654375
Algeria,DZA,1978,,662.1581658570001,115.01875
Algeria,DZA,1979,,675.5451820630001,188.5345
Algeria,DZA,1980,,599.4387565346001,154.0975
Algeria,DZA,1981,,534.1273481782,178.64843
Algeria,DZA,1982,,531.3829025227,233.10009
Algeria,DZA,1983,,522.8083114671,333.79263
Algeria,DZA,1984,,567.3807406186,339.75882
Algeria,DZA,1985,,547.3196423638,373.38115
Algeria,DZA,1986,,563.8136628462,381.89431
Algeria,DZA,1987,,583.799905769,431.0078
Algeria,DZA,1988,,611.4503845176,450.58109
Algeria,DZA,1989,,633.6584114756,485.83162
Algeria,DZA,1990,,678.6743477696,516.56971
Algeria,DZA,1991,,682.6080561748,557.0304799999999
Algeria,DZA,1992,,657.1114050454,580.01136
Algeria,DZA,1993,,655.0389507917,587.46619
Algeria,DZA,1994,,652.1086887883,540.10883
Algeria,DZA,1995,,649.0848887883,614.91299
Algeria,DZA,1996,,686.3132804370001,652.51278
Algeria,DZA,1997,,716.0245029597,748.58821
Algeria,DZA,1998,,713.9167778235001,801.62101
Algeria,DZA,1999,,680.6859789841,901.06914
Algeria,DZA,2000,,776.7328100000001,918.8863
Algeria,DZA,2001,,764.6841300000001,864.72539
Algeria,DZA,2002,,824.4972200000001,889.4158799999999
Algeria,DZA,2003,,918.82815,938.57589
Algeria,DZA,2004,,971.69813,920.54939
Algeria,DZA,2005,,1005.2701021,849.1175
Algeria,DZA,2006,,1002.52926,812.994875
Algeria,DZA,2007,,1005.78566,816.459875
Algeria,DZA,2008,,985.7705232726,826.0078749999999
Algeria,DZA,2009,,898.23142,765.6687499999999
Algeria,DZA,2010,,858.0032500000001,773.9654999999999
Algeria,DZA,2011,,833.58025,795.9875
Algeria,DZA,2012,,781.6755600000001,784.4375
Algeria,DZA,2013,,753.4379200000001,793.38875
Algeria,DZA,2014,,799.80673,801.7239999999999
Algeria,DZA,2015,,781.82675,814.111375
Algeria,DZA,2016,,795.6897100000001,913.922625
Algeria,DZA,2017,,775.1162400000001,929.765375
Algeria,DZA,2018,,759.81116,938.4375
Algeria,DZA,2019,,748.1579,869.5225
Algeria,DZA,2020,,669.86474,814.56375
Angola,AGO,1965,,7.617650000000001,
Angola,AGO,1966,,7.33853,
Angola,AGO,1967,,6.245310000000001,
Angola,AGO,1968,,8.7225,
Angola,AGO,1969,,28.586540000000003,
Angola,AGO,1970,,58.90595000000001,
Angola,AGO,1971,,66.53523,
Angola,AGO,1972,,82.07291000000001,
Angola,AGO,1973,,95.07525,
Angola,AGO,1974,,99.33183,
Angola,AGO,1975,,90.60933,
Angola,AGO,1976,,87.96932000000001,
Angola,AGO,1977,,82.13106,
Angola,AGO,1978,,75.23447,
Angola,AGO,1979,,83.736,
Angola,AGO,1980,,86.38764,
Angola,AGO,1981,,83.24754000000001,
Angola,AGO,1982,,74.54830000000001,
Angola,AGO,1983,,102.2277,
Angola,AGO,1984,,117.16062,
Angola,AGO,1985,,133.18676000000002,
Angola,AGO,1986,,161.95938,
Angola,AGO,1987,,203.59478,
Angola,AGO,1988,,259.58160000000004,
