Entity,Code,Year,Fossil fuels (% sub energy)
Africa,,1965,94.463
Africa,,1966,94.127
Africa,,1967,93.92
Africa,,1968,93.257
Africa,,1969,92.317
Africa,,1970,91.193
Africa,,1971,92.323
Africa,,1972,91.759
Africa,,1973,91.95
Africa,,1974,91.265
Africa,,1975,91.276
Africa,,1976,91.171
Africa,,1977,90.778
Africa,,1978,91.045
Africa,,1979,91.259
Africa,,1980,92.063
Africa,,1981,92.594
Africa,,1982,93.059
Africa,,1983,93.906
Africa,,1984,93.687
Africa,,1985,93.125
Africa,,1986,92.606
Africa,,1987,93.386
Africa,,1988,92.858
Africa,,1989,92.519
Africa,,1990,92.919
Africa,,1991,92.474
Africa,,1992,92.873
Africa,,1993,93.225
Africa,,1994,93.088
Africa,,1995,92.969
Africa,,1996,92.842
Africa,,1997,92.741
Africa,,1998,92.478
Africa,,1999,92.409
Africa,,2000,92.108
Africa,,2001,92.151
Africa,,2002,91.832
Africa,,2003,92.345
Africa,,2004,92.483
Africa,,2005,92.607
Africa,,2006,92.592
Africa,,2007,92.628
Africa,,2008,92.867
Africa,,2009,92.852
Africa,,2010,92.567
Africa,,2011,92.464
Africa,,2012,92.693
Africa,,2013,92.437
Africa,,2014,92.209
Africa,,2015,92.277
Africa,,2016,92.347
Africa,,2017,92.01
Africa,,2018,91.972
Africa,,2019,91.368
Algeria,DZA,1965,95.513
Algeria,DZA,1966,96.687
Algeria,DZA,1967,95.958
Algeria,DZA,1968,94.829
Algeria,DZA,1969,97.004
Algeria,DZA,1970,95.605
Algeria,DZA,1971,97.689
Algeria,DZA,1972,96.914
Algeria,DZA,1973,96.067
Algeria,DZA,1974,97.653
Algeria,DZA,1975,98.704
Algeria,DZA,1976,98.683
Algeria,DZA,1977,99.171
Algeria,DZA,1978,99.387
Algeria,DZA,1979,99.456
Algeria,DZA,1980,99.597
Algeria,DZA,1981,99.527
Algeria,DZA,1982,99.464
Algeria,DZA,1983,99.759
Algeria,DZA,1984,99.517
Algeria,DZA,1985,99.316
Algeria,DZA,1986,99.75
Algeria,DZA,1987,99.514
Algeria,DZA,1988,99.834
Algeria,DZA,1989,99.789
Algeria,DZA,1990,99.881
Algeria,DZA,1991,99.739
Algeria,DZA,1992,99.827
Algeria,DZA,1993,99.671
Algeria,DZA,1994,99.847
Algeria,DZA,1995,99.829
Algeria,DZA,1996,99.879
Algeria,DZA,1997,99.93
Algeria,DZA,1998,99.806
Algeria,DZA,1999,99.819
Algeria,DZA,2000,99.95
Algeria,DZA,2001,99.939
Algeria,DZA,2002,99.951
Algeria,DZA,2003,99.786
Algeria,DZA,2004,99.806
Algeria,DZA,2005,99.592
Algeria,DZA,2006,99.847
Algeria,DZA,2007,99.85
Algeria,DZA,2008,99.824
Algeria,DZA,2009,99.8
Algeria,DZA,2010,99.891
Algeria,DZA,2011,99.779
Algeria,DZA,2012,99.789
Algeria,DZA,2013,99.939
Algeria,DZA,2014,99.89
Algeria,DZA,2015,99.909
Algeria,DZA,2016,99.863
Algeria,DZA,2017,99.768
Algeria,DZA,2018,99.73
Algeria,DZA,2019,99.727
Argentina,ARG,1965,98.914
Argentina,ARG,1966,98.935
Argentina,ARG,1967,98.941
Argentina,ARG,1968,98.793
Argentina,ARG,1969,98.953
Argentina,ARG,1970,98.679
Argentina,ARG,1971,98.763
Argentina,ARG,1972,98.804
Argentina,ARG,1973,97.775
Argentina,ARG,1974,95.717
Argentina,ARG,1975,94.415
Argentina,ARG,1976,94.797
Argentina,ARG,1977,95.136
Argentina,ARG,1978,93.157
Argentina,ARG,1979,91.9
Argentina,ARG,1980,89.398
Argentina,ARG,1981,88.999
Argentina,ARG,1982,88.045
Argentina,ARG,1983,87.151
Argentina,ARG,1984,85.571
Argentina,ARG,1985,84.073
Argentina,ARG,1986,85.401
Argentina,ARG,1987,85.205
Argentina,ARG,1988,89.235
Argentina,ARG,1989,90.292
Argentina,ARG,1990,86.326
Argentina,ARG,1991,87.116
Argentina,ARG,1992,86.587
Argentina,ARG,1993,84.861
Argentina,ARG,1994,82.811
Argentina,ARG,1995,83.792
Argentina,ARG,1996,85.662
Argentina,ARG,1997,82.301
Argentina,ARG,1998,83.371
Argentina,ARG,1999,85.544
Argentina,ARG,2000,83.433
Argentina,ARG,2001,79.819
Argentina,ARG,2002,79.538
Argentina,ARG,2003,81.235
Argentina,ARG,2004,83.594
Argentina,ARG,2005,83.634
Argentina,ARG,2006,82.687
Argentina,ARG,2007,85.497
Argentina,ARG,2008,85.921
Argentina,ARG,2009,84.377
Argentina,ARG,2010,84.852
Argentina,ARG,2011,85.348
Argentina,ARG,2012,86.203
Argentina,ARG,2013,85.737
Argentina,ARG,2014,85.668
Argentina,ARG,2015,85.299
Argentina,ARG,2016,85.934
Argentina,ARG,2017,85.326
Argentina,ARG,2018,84.901
Argentina,ARG,2019,84.271
Australia,AUS,1965,94.528
Australia,AUS,1966,95.234
Australia,AUS,1967,95.349
Australia,AUS,1968,95.428
Australia,AUS,1969,95.218
Australia,AUS,1970,94.9
Australia,AUS,1971,94.52
Australia,AUS,1972,94.732
Australia,AUS,1973,94.743
Australia,AUS,1974,94.398
Australia,AUS,1975,94.076
Australia,AUS,1976,94.552
Australia,AUS,1977,95.045
Australia,AUS,1978,94.782
Australia,AUS,1979,95.119
Australia,AUS,1980,95.42
Australia,AUS,1981,95.32
Australia,AUS,1982,95.64
Australia,AUS,1983,95.889
Australia,AUS,1984,95.743
Australia,AUS,1985,95.518
Australia,AUS,1986,95.637
Australia,AUS,1987,95.869
Australia,AUS,1988,95.777
Australia,AUS,1989,95.972
Australia,AUS,1990,95.922
Australia,AUS,1991,95.669
Australia,AUS,1992,95.648
Australia,AUS,1993,95.654
Australia,AUS,1994,95.871
Australia,AUS,1995,96.069
Australia,AUS,1996,96.058
Australia,AUS,1997,96.146
Australia,AUS,1998,96.246
Australia,AUS,1999,96.283
Australia,AUS,2000,96.291
Australia,AUS,2001,96.406
Australia,AUS,2002,96.341
Australia,AUS,2003,96.275
Australia,AUS,2004,96.284
Australia,AUS,2005,96.029
Australia,AUS,2006,96.146
Australia,AUS,2007,96.19
Australia,AUS,2008,96.148
Australia,AUS,2009,95.689
Australia,AUS,2010,94.963
Australia,AUS,2011,93.707
Australia,AUS,2012,93.859
Australia,AUS,2013,93.14
Australia,AUS,2014,93.756
Australia,AUS,2015,93.496
Australia,AUS,2016,92.793
Australia,AUS,2017,93.115
Australia,AUS,2018,91.647
Australia,AUS,2019,91.433
Austria,AUT,1965,76.06
Austria,AUT,1966,75.34
Austria,AUT,1967,75.069
Austria,AUT,1968,76.058
Austria,AUT,1969,78.788
Austria,AUT,1970,76.376
Austria,AUT,1971,81.316
Austria,AUT,1972,81.44
Austria,AUT,1973,80.811
Austria,AUT,1974,77.379
Austria,AUT,1975,76.121
Austria,AUT,1976,80.11
Austria,AUT,1977,75.891
Austria,AUT,1978,76.885
Austria,AUT,1979,75.394
Austria,AUT,1980,74.383
Austria,AUT,1981,71.997
Austria,AUT,1982,70.985
Austria,AUT,1983,71.182
Austria,AUT,1984,74.516
Austria,AUT,1985,72.18
Austria,AUT,1986,71.188
Austria,AUT,1987,69.198
Austria,AUT,1988,68.677
Austria,AUT,1989,68.998
Austria,AUT,1990,72.455
Austria,AUT,1991,73.743
Austria,AUT,1992,70.395
Austria,AUT,1993,69.368
Austria,AUT,1994,70.13
Austria,AUT,1995,69.943
Austria,AUT,1996,72.43
Austria,AUT,1997,71.447
Austria,AUT,1998,70.985
Austria,AUT,1999,69.198
Austria,AUT,2000,68.504
Austria,AUT,2001,70.611
Austria,AUT,2002,71.097
Austria,AUT,2003,76.133
Austria,AUT,2004,73.738
Austria,AUT,2005,73.453
Austria,AUT,2006,72.863
Austria,AUT,2007,70.595
Austria,AUT,2008,70.169
Austria,AUT,2009,67.33
Austria,AUT,2010,70.016
Austria,AUT,2011,70.927
Austria,AUT,2012,65.858
Austria,AUT,2013,66.523
Austria,AUT,2014,65.229
Austria,AUT,2015,66.893
Austria,AUT,2016,66.232
Austria,AUT,2017,67.29
Austria,AUT,2018,67.434
Austria,AUT,2019,66.298
Azerbaijan,AZE,1985,98.445
Azerbaijan,AZE,1986,99.115
Azerbaijan,AZE,1987,99.087
Azerbaijan,AZE,1988,99.208
Azerbaijan,AZE,1989,99.223
Azerbaijan,AZE,1990,98.229
Azerbaijan,AZE,1991,98.044
Azerbaijan,AZE,1992,97.731
Azerbaijan,AZE,1993,96.365
Azerbaijan,AZE,1994,97.017
Azerbaijan,AZE,1995,97.303
Azerbaijan,AZE,1996,96.75
Azerbaijan,AZE,1997,96.219
Azerbaijan,AZE,1998,95.706
Azerbaijan,AZE,1999,96.673
Azerbaijan,AZE,2000,96.754
Azerbaijan,AZE,2001,97.163
Azerbaijan,AZE,2002,95.567
Azerbaijan,AZE,2003,95.021
Azerbaijan,AZE,2004,95.134
Azerbaijan,AZE,2005,95.128
Azerbaijan,AZE,2006,95.883
Azerbaijan,AZE,2007,95.754
Azerbaijan,AZE,2008,96.055
Azerbaijan,AZE,2009,95.406
Azerbaijan,AZE,2010,93.094
Azerbaijan,AZE,2011,95.21
Azerbaijan,AZE,2012,96.855
Azerbaijan,AZE,2013,97.399
Azerbaijan,AZE,2014,97.735
Azerbaijan,AZE,2015,97.429
Azerbaijan,AZE,2016,96.875
Azerbaijan,AZE,2017,97.155
Azerbaijan,AZE,2018,97.135
Azerbaijan,AZE,2019,97.52
Bangladesh,BGD,1971,100
Bangladesh,BGD,1972,96.94
Bangladesh,BGD,1973,95.314
Bangladesh,BGD,1974,96.671
Bangladesh,BGD,1975,94.738
Bangladesh,BGD,1976,94.804
Bangladesh,BGD,1977,95.522
Bangladesh,BGD,1978,95.189
Bangladesh,BGD,1979,94.961
Bangladesh,BGD,1980,95.56
Bangladesh,BGD,1981,95.273
Bangladesh,BGD,1982,96.417
Bangladesh,BGD,1983,95.411
Bangladesh,BGD,1984,94.243
Bangladesh,BGD,1985,95.736
Bangladesh,BGD,1986,97.617
Bangladesh,BGD,1987,97.519
Bangladesh,BGD,1988,97.091
Bangladesh,BGD,1989,96.32
Bangladesh,BGD,1990,96.668
Bangladesh,BGD,1991,96.726
Bangladesh,BGD,1992,97.149
Bangladesh,BGD,1993,98.021
Bangladesh,BGD,1994,97.401
Bangladesh,BGD,1995,99.035
Bangladesh,BGD,1996,98.168
Bangladesh,BGD,1997,98.304
Bangladesh,BGD,1998,98.084
Bangladesh,BGD,1999,98.176
Bangladesh,BGD,2000,98.47
Bangladesh,BGD,2001,98.237
Bangladesh,BGD,2002,98.719
Bangladesh,BGD,2003,98.798
Bangladesh,BGD,2004,98.844
Bangladesh,BGD,2005,98.933
Bangladesh,BGD,2006,99.016
Bangladesh,BGD,2007,99.041
Bangladesh,BGD,2008,98.851
Bangladesh,BGD,2009,99.519
Bangladesh,BGD,2010,99.187
Bangladesh,BGD,2011,99.106
Bangladesh,BGD,2012,99.225
Bangladesh,BGD,2013,99.26
Bangladesh,BGD,2014,99.395
Bangladesh,BGD,2015,99.238
Bangladesh,BGD,2016,99.252
Bangladesh,BGD,2017,99.149
Bangladesh,BGD,2018,99.29
Bangladesh,BGD,2019,99.363
Belarus,BLR,1985,99.986
Belarus,BLR,1986,99.988
Belarus,BLR,1987,99.988
Belarus,BLR,1988,99.988
Belarus,BLR,1989,99.988
Belarus,BLR,1990,99.988
Belarus,BLR,1991,99.989
Belarus,BLR,1992,99.989
Belarus,BLR,1993,99.984
Belarus,BLR,1994,99.981
Belarus,BLR,1995,99.978
Belarus,BLR,1996,99.983
Belarus,BLR,1997,99.978
Belarus,BLR,1998,99.97
Belarus,BLR,1999,99.979
Belarus,BLR,2000,99.971
Belarus,BLR,2001,99.967
Belarus,BLR,2002,99.969
Belarus,BLR,2003,99.97
Belarus,BLR,2004,99.968
Belarus,BLR,2005,99.965
Belarus,BLR,2006,99.967
Belarus,BLR,2007,99.955
Belarus,BLR,2008,99.909
Belarus,BLR,2009,99.819
Belarus,BLR,2010,99.759
Belarus,BLR,2011,99.773
Belarus,BLR,2012,99.759
Belarus,BLR,2013,99.703
Belarus,BLR,2014,99.722
Belarus,BLR,2015,99.679
Belarus,BLR,2016,99.609
Belarus,BLR,2017,99.287
Belarus,BLR,2018,99.37
Belarus,BLR,2019,99.365
Belgium,BEL,1965,99.817
Belgium,BEL,1966,99.787
Belgium,BEL,1967,99.779
Belgium,BEL,1968,99.818
Belgium,BEL,1969,99.863
Belgium,BEL,1970,99.844
Belgium,BEL,1971,99.93
Belgium,BEL,1972,99.906
Belgium,BEL,1973,99.823
Belgium,BEL,1974,99.75
Belgium,BEL,1975,96.216
Belgium,BEL,1976,94.837
Belgium,BEL,1977,93.729
Belgium,BEL,1978,93.709
Belgium,BEL,1979,94.375
Belgium,BEL,1980,93.548
