"","Category","Fuel_type","Fuel_subtype","Country","ISO2","ISO3","UN","City_state_or_province","mbl_country","mbl_city_region","Start","End","Sources_and_more_info","Sources_2","Sources_3","Policy","Sources_and_more_info_hyperlinks","Column1","a","b","MBL_Class_Moratorium","MBL_Class_Ban","MBL_Class_Partial_Ban","MBL_Class_Limitation","MBL_Type_Oil","MBL_Type_Gas","MBL_Type_Coal","MBL_Type_Offshore","MBL_Type_Oil_Gas","MBL_Type_Oil_Gas_Coal","MBL_Type_Coal_Gas","MBL_Type_All","MBL_Type_Ore","Date","date"
"1","Moratorium","Oil, Gas & Coal",NA,"United States of America","US","USA",840,"All federal lands",0,1,2021,"ongoing","https://www.worldoil.com/news/2021/1/21/biden-prepares-to-end-new-oil-and-coal-leases-on-federal-land",NA,NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2021-01-01,2021-01-01
"2","Ban","All",NA,"International","AQ","ATA",10,"Antarctica",0,1,1998,"ongoing","http://www.ats.aq/documents/recatt/Att006_e.pdf",NA,NA,1,"Link","Link",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1998-01-01,1998-01-01
"3","Moratorium","Offshore",NA,"Canada","CA","CAN",124,"Arctic",1,1,2016,"ongoing","https://www.rcaanc-cirnac.gc.ca/eng/1535571547022/1538586415269","https://ipolitics.ca/2019/08/08/trudeau-government-expands-moratorium-on-oil-and-gas-work-in-arctic-waters/",NA,1,"Link","Link",2,9,7,2,0,1,3,5,1,1,0,0,0,0,0,2016-01-01,2016-01-01
"4","Moratorium","Offshore",NA,"United States of America","US","USA",840,"Arctic",1,1,2016,"ongoing","https://www.washingtonpost.com/news/energy-environment/wp/2016/12/20/president-obama-expected-to-ban-oil-drilling-in-large-areas-of-atlantic-and-arctic-oceans/","https://www.cbc.ca/news/technology/obama-ban-offshore-drilling-arctic-atlantic-1.3905384",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2016-01-01,2016-01-01
"5","Moratorium","Oil & Gas","Oil & Gas","United States of America","US","USA",840,"Arctic",0,1,2021,"ongoing","https://climate-laws.org/geographies/united-states-of-america/policies/executive-order-on-protecting-public-health-and-the-environment-and-restoring-science-to-tackle-the-climate-crisis",NA,NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2021-01-01,2021-01-01
"6","Moratorium","Offshore",NA,"United States of America","US","USA",840,"Atlantic Coast; eastern Gulf of Mexico",0,1,2010,"2017","https://www.washingtonpost.com/wp-dyn/content/article/2010/12/01/AR2010120107185.html",NA,NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2010-01-01,2010-01-01
"7","Moratorium","Coal",NA,"Brunei Darussalam","BN","BRN",96,"Bandar Seri Begawan (National)",1,0,2030,NA,"https://ukcop26.org/global-coal-to-clean-power-transition-statement/",NA,NA,1,"Link","Link",2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2030-01-01,2030-01-01
"8","Limitation","Oil","Offshore","Brunei Darussalam","BN","BRN",96,"Bandar Seri Begawan (National)",1,0,2023,NA,"https://thescoop.co/2021/06/28/over-1000-ageing-oil-wells-to-close-in-next-30-years/","https://borneobulletin.com.bn/decommissioning-of-oil-and-gas-structure-part-of-normal-life-cycle-bsp/",NA,1,"Link","Link",2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2023-01-01,2023-01-01
"9","Moratorium","Oil","Offshore","Canada","CA","CAN",124,"British Columbia",0,1,1959,"1966","file:///home/chronos/u-abc8fdc6736d53a2de500e100fe62abb14e96c3e/MyFiles/Downloads/41AltaLRev101.pdf",NA,NA,1,"Link","Link",2,9,7,2,0,1,3,5,1,1,0,0,0,0,0,1959-01-01,1959-01-01
"10","Moratorium","Oil","Offshore","Canada","CA","CAN",124,"British Columbia",0,1,1972,"ongoing","https://www.energyregulationquarterly.ca/articles/proposed-oil-tanker-moratorium-act-a-brief-look-at-the-history-of-the-moratorium","https://www.resourceworks.com/moratorium",NA,1,"Link","Link",2,9,7,2,0,1,3,5,1,1,0,0,0,0,0,1972-01-01,1972-01-01
"11","Moratorium","Oil","Offshore","Canada","CA","CAN",124,"British Columbia",0,1,1989,"Uncertain","https://www.energyregulationquarterly.ca/articles/proposed-oil-tanker-moratorium-act-a-brief-look-at-the-history-of-the-moratorium","https://www.resourceworks.com/moratorium",NA,1,"Link","Link",2,9,7,2,0,1,3,5,1,1,0,0,0,0,0,1989-01-01,1989-01-01
"12","Moratorium","Oil & Gas",NA,"United States of America","US","USA",840,"Broomfield, Colorado",0,1,2020,"ongoing","https://www.dailycamera.com/2020/11/12/broomfield-extends-oil-and-gas-moratorium-another-6-months/",NA,NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2020-01-01,2020-01-01
"13","Ban","Offshore",NA,"United States of America","US","USA",840,"California",0,1,1969,"ongoing","https://www.environmentaldefensecenter.org/california-coastal-sanctuary-act-of-1994/",NA,NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,1969-01-01,1969-01-01
"14","Moratorium","Offshore",NA,"United States of America","US","USA",840,"California",0,1,1982,"2008","https://us.eversheds-sutherland.com/files/News/0e55315d-cbcc-4ce0-a556-1080a70696c4/Presentation/NewsAttachment/077a264f-154c-49b7-bf72-1093d9cc43b3/EnergyAlertOCSMoratorium10108.pdf","https://www.lexology.com/library/detail.aspx?g=4cb13ed2-aed3-4d0f-8b85-59e23a8ed659",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,1982-01-01,1982-01-01
"15","Ban","Gas","Shale","United States of America","US","USA",840,"California",0,1,2014,"ongoing","https://www.reuters.com/article/us-us-fracking-california/beverly-hills-becomes-first-in-california-to-ban-fracking-idusBREA4603O20140507","https://www.ecowatch.com/beverly-hills-becomes-first-city-in-california-to-pass-fracking-ban-1881899667.html",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2014-01-01,2014-01-01
"16","Ban","Gas","Shale","United States of America","US","USA",840,"California",0,1,2014,"ongoing","http://www.latimes.com/local/lanow/la-me-ln-moratorium-oil-drilling-carson-fracking-20140430-story.html","https://www.ecowatch.com/carson-city-bans-fracking-1891078841.html",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2014-01-01,2014-01-01
"17","Ban","Gas","Shale","United States of America","US","USA",840,"California",0,1,2014,"ongoing","http://www.pressdemocrat.com/news/3070579-181/mendocino-county-voters-ban-fracking","https://ballotpedia.org/Mendocino_County_Community_Bill_of_Rights_Fracking_and_Water_use_Initiative,_Measure_S_(November_2014)",NA,1,"Link","Link",4,84,23,64,0,0,6,68,1,6,4,1,0,1,0,2014-01-01,2014-01-01
